   0.00000,  23.27688,   0.00000
   2.00000,  20.34355,   1.76898
   4.00000,  17.65703,   2.85490
   6.00000,  15.20728,   3.40171
   8.00000,  12.98424,   3.58839
  10.00000,  10.97788,   3.54596
  12.00000,   9.17816,   3.36754
  14.00000,   7.57503,   3.11715
  16.00000,   6.15846,   2.83727
  18.00000,   4.91839,   2.55502
  20.00000,   3.84479,   2.28712
  22.00000,   2.92761,   2.04350
  24.00000,   2.15682,   1.82963
  26.00000,   1.52237,   1.64757
  28.00000,   1.01422,   1.49572
  30.00000,   0.62232,   1.36725
  32.00000,   0.33664,   1.24728
  34.00000,   0.14712,   1.10871
  36.00000,   0.04374,   0.90681
  38.00000,   0.01644,   0.57246
  40.00000,   0.05519,   0.00414
