x,y,z,gamma,tilt
2600.0,600.0,70.0,0.0,0.0
2531.7531676931176,1155.8258449191403,70.0,0.0,0.0
2463.5063353862347,1711.6516898382806,70.0,0.0,0.0
2395.259503079352,2267.477534757421,70.0,0.0,0.0
2327.0126707724694,2823.3033796765612,70.0,0.0,0.0
2258.765838465587,3379.1292245957015,70.0,0.0,0.0
2190.519006158704,3934.955069514842,70.0,0.0,0.0
2122.272173851822,4490.780914433982,70.0,0.0,0.0
3160.0,600.0,70.0,0.0,0.0
3091.7531676931176,1155.8258449191403,70.0,0.0,0.0
3023.5063353862347,1711.6516898382806,70.0,0.0,0.0
2955.259503079352,2267.477534757421,70.0,0.0,0.0
2887.01267077247,2823.3033796765612,70.0,0.0,0.0
2818.765838465587,3379.1292245957015,70.0,0.0,0.0
2750.5190061587045,3934.955069514842,70.0,0.0,0.0
2682.2721738518217,4490.780914433982,70.0,0.0,0.0
3720.0,600.0,70.0,0.0,0.0
3651.7531676931176,1155.8258449191403,70.0,0.0,0.0
3583.5063353862347,1711.6516898382806,70.0,0.0,0.0
3515.259503079352,2267.477534757421,70.0,0.0,0.0
3447.0126707724694,2823.3033796765612,70.0,0.0,0.0
3378.765838465587,3379.1292245957015,70.0,0.0,0.0
3310.5190061587045,3934.955069514842,70.0,0.0,0.0
3242.2721738518217,4490.780914433982,70.0,0.0,0.0
4280.0,600.0,70.0,0.0,0.0
4211.753167693118,1155.8258449191403,70.0,0.0,0.0
4143.506335386235,1711.6516898382806,70.0,0.0,0.0
4075.259503079352,2267.477534757421,70.0,0.0,0.0
4007.0126707724694,2823.3033796765612,70.0,0.0,0.0
3938.765838465587,3379.1292245957015,70.0,0.0,0.0
3870.5190061587045,3934.955069514842,70.0,0.0,0.0
3802.2721738518217,4490.780914433982,70.0,0.0,0.0
4840.0,600.0,70.0,0.0,0.0
4771.753167693118,1155.8258449191403,70.0,0.0,0.0
4703.506335386235,1711.6516898382806,70.0,0.0,0.0
4635.259503079352,2267.477534757421,70.0,0.0,0.0
4567.012670772469,2823.3033796765612,70.0,0.0,0.0
4498.765838465587,3379.1292245957015,70.0,0.0,0.0
4430.5190061587045,3934.955069514842,70.0,0.0,0.0
4362.272173851821,4490.780914433982,70.0,0.0,0.0
5400.0,600.0,70.0,0.0,0.0
5331.753167693118,1155.8258449191403,70.0,0.0,0.0
5263.506335386235,1711.6516898382806,70.0,0.0,0.0
5195.259503079352,2267.477534757421,70.0,0.0,0.0
5127.012670772469,2823.3033796765612,70.0,0.0,0.0
5058.765838465587,3379.1292245957015,70.0,0.0,0.0
4990.5190061587045,3934.955069514842,70.0,0.0,0.0
4922.272173851822,4490.780914433982,70.0,0.0,0.0
5960.0,600.0,70.0,0.0,0.0
5891.753167693118,1155.8258449191403,70.0,0.0,0.0
5823.506335386235,1711.6516898382806,70.0,0.0,0.0
5755.259503079352,2267.477534757421,70.0,0.0,0.0
5687.012670772469,2823.3033796765612,70.0,0.0,0.0
5618.765838465587,3379.1292245957015,70.0,0.0,0.0
5550.519006158704,3934.955069514842,70.0,0.0,0.0
5482.272173851822,4490.780914433982,70.0,0.0,0.0
6520.0,600.0,70.0,0.0,0.0
6451.753167693118,1155.8258449191403,70.0,0.0,0.0
6383.506335386235,1711.6516898382806,70.0,0.0,0.0
6315.259503079352,2267.477534757421,70.0,0.0,0.0
6247.012670772469,2823.3033796765612,70.0,0.0,0.0
6178.765838465587,3379.1292245957015,70.0,0.0,0.0
6110.519006158704,3934.955069514842,70.0,0.0,0.0
6042.272173851822,4490.780914433982,70.0,0.0,0.0
7080.0,600.0,70.0,0.0,0.0
7011.753167693118,1155.8258449191403,70.0,0.0,0.0
6943.506335386235,1711.6516898382806,70.0,0.0,0.0
6875.259503079352,2267.477534757421,70.0,0.0,0.0
6807.012670772469,2823.3033796765612,70.0,0.0,0.0
6738.765838465587,3379.1292245957015,70.0,0.0,0.0
6670.519006158704,3934.955069514842,70.0,0.0,0.0
6602.272173851822,4490.780914433982,70.0,0.0,0.0
7640.0,600.0,70.0,0.0,0.0
7571.753167693118,1155.8258449191403,70.0,0.0,0.0
7503.506335386235,1711.6516898382806,70.0,0.0,0.0
7435.259503079352,2267.477534757421,70.0,0.0,0.0
7367.012670772469,2823.3033796765612,70.0,0.0,0.0
7298.765838465587,3379.1292245957015,70.0,0.0,0.0
7230.519006158704,3934.955069514842,70.0,0.0,0.0
7162.272173851822,4490.780914433982,70.0,0.0,0.0
