x,y,z,gamma,tilt
2978.634890636419,4927.816603624593,70.0,0.0,0.0
2814.9067359916867,4392.285940285293,70.0,0.0,0.0
2651.1785813469537,3856.7552769459926,70.0,0.0,0.0
2487.4504267022216,3321.224613606693,70.0,0.0,0.0
2323.7222720574887,2785.693950267393,70.0,0.0,0.0
2159.9941174127566,2250.1632869280934,70.0,0.0,0.0
1996.265962768024,1714.6326235887934,70.0,0.0,0.0
1832.5378081232911,1179.1019602494935,70.0,0.0,0.0
3530.127232323256,4830.5736241311115,70.0,0.0,0.0
3366.399077678523,4295.042960791811,70.0,0.0,0.0
3202.6709230337906,3759.5122974525116,70.0,0.0,0.0
3038.942768389058,3223.981634113212,70.0,0.0,0.0
2875.2146137443256,2688.450970773912,70.0,0.0,0.0
2711.486459099593,2152.9203074346124,70.0,0.0,0.0
2547.75830445486,1617.3896440953124,70.0,0.0,0.0
2384.030149810128,1081.8589807560127,70.0,0.0,0.0
4081.619574010092,4733.33064463763,70.0,0.0,0.0
3917.89141936536,4197.799981298331,70.0,0.0,0.0
3754.163264720627,3662.2693179590306,70.0,0.0,0.0
3590.4351100758945,3126.738654619731,70.0,0.0,0.0
3426.706955431162,2591.207991280431,70.0,0.0,0.0
3262.9788007864295,2055.6773279411314,70.0,0.0,0.0
3099.250646141697,1520.1466646018314,70.0,0.0,0.0
2935.522491496964,984.6160012625319,70.0,0.0,0.0
4633.111915696929,4636.0876651441495,70.0,0.0,0.0
4469.383761052196,4100.557001804849,70.0,0.0,0.0
4305.655606407464,3565.02633846555,70.0,0.0,0.0
4141.927451762731,3029.49567512625,70.0,0.0,0.0
3978.199297117999,2493.96501178695,70.0,0.0,0.0
3814.471142473266,1958.4343484476503,70.0,0.0,0.0
3650.7429878285334,1422.9036851083504,70.0,0.0,0.0
3487.014833183801,887.3730217690509,70.0,0.0,0.0
5184.604257383765,4538.844685650669,70.0,0.0,0.0
5020.876102739033,4003.3140223113687,70.0,0.0,0.0
4857.1479480943,3467.7833589720685,70.0,0.0,0.0
4693.419793449568,2932.252695632769,70.0,0.0,0.0
4529.691638804835,2396.722032293469,70.0,0.0,0.0
4365.963484160103,1861.191368954169,70.0,0.0,0.0
4202.23532951537,1325.6607056148694,70.0,0.0,0.0
4038.5071748706373,790.1300422755696,70.0,0.0,0.0
5736.096599070602,4441.601706157187,70.0,0.0,0.0
5572.368444425869,3906.0710428178877,70.0,0.0,0.0
5408.640289781137,3370.540379478588,70.0,0.0,0.0
5244.912135136404,2835.009716139288,70.0,0.0,0.0
5081.183980491672,2299.479052799988,70.0,0.0,0.0
4917.455825846939,1763.9483894606883,70.0,0.0,0.0
4753.727671202207,1228.4177261213883,70.0,0.0,0.0
4589.999516557474,692.8870627820888,70.0,0.0,0.0
6287.588940757438,4344.358726663706,70.0,0.0,0.0
6123.860786112706,3808.8280633244067,70.0,0.0,0.0
5960.132631467973,3273.2973999851065,70.0,0.0,0.0
5796.404476823241,2737.7667366458068,70.0,0.0,0.0
5632.676322178508,2202.236073306507,70.0,0.0,0.0
5468.948167533775,1666.7054099672073,70.0,0.0,0.0
5305.220012889043,1131.1747466279076,70.0,0.0,0.0
5141.491858244311,595.6440832886076,70.0,0.0,0.0
6839.081282444275,4247.115747170225,70.0,0.0,0.0
6675.353127799543,3711.5850838309257,70.0,0.0,0.0
6511.62497315481,3176.054420491626,70.0,0.0,0.0
6347.896818510077,2640.5237571523257,70.0,0.0,0.0
6184.168663865345,2104.993093813026,70.0,0.0,0.0
6020.440509220612,1569.4624304737263,70.0,0.0,0.0
5856.712354575879,1033.9317671344265,70.0,0.0,0.0
5692.984199931147,498.4011037951268,70.0,0.0,0.0
7390.5736241311115,4149.872767676744,70.0,0.0,0.0
7226.8454694863785,3614.3421043374447,70.0,0.0,0.0
7063.117314841646,3078.8114409981445,70.0,0.0,0.0
6899.3891601969135,2543.2807776588447,70.0,0.0,0.0
6735.661005552181,2007.7501143195452,70.0,0.0,0.0
6571.932850907448,1472.2194509802453,70.0,0.0,0.0
6408.2046962627155,936.6887876409453,70.0,0.0,0.0
6244.4765416179835,401.1581243016458,70.0,0.0,0.0
7942.0659658179475,4052.6297881832634,70.0,0.0,0.0
7778.3378111732145,3517.0991248439636,70.0,0.0,0.0
7614.609656528482,2981.568461504664,70.0,0.0,0.0
7450.88150188375,2446.0377981653637,70.0,0.0,0.0
7287.153347239017,1910.507134826064,70.0,0.0,0.0
7123.425192594284,1374.9764714867642,70.0,0.0,0.0
6959.697037949552,839.4458081474645,70.0,0.0,0.0
6795.96888330482,303.91514480816477,70.0,0.0,0.0
